seed,conference,seed_conference,team,twitter_handle
1,east,1east,villanova,novambb
2,east,2east,duke,duke_mbb
3,east,3east,baylor,baylormbb
4,east,4east,florida,gatorsmbk
5,east,5east,virginia,uvamenshoops
6,east,6east,smu,smubasketball
7,east,7east,south carolina,gamecockmbb
8,east,8east,wisconsin,badgermbb
9,east,9east,virginia tech,vt_mbball
10,east,10east,marquette,marquettembb
11,east,11east,providence,pcathletics
11,east,11east,usc,usc_hoops
12,east,12east,unc wilmington,uncwmenshoops
13,east,13east,east tennessee state,etsu_mbb
14,east,14east,new mexico state,nmstateaggies
15,east,15east,troy,troymenshoops
16,east,16east,mt st marys,mounthoops
16,east,16east,new orleans,privateers_mbb
1,midwest,1midwest,kansas,kuhoops
2,midwest,2midwest,louisville,cardinalmbb
3,midwest,3midwest,oregon,oregonmbb
4,midwest,4midwest,purdue,purduebball
5,midwest,5midwest,iowa state,iowahoops
6,midwest,6midwest,creighton,bluejaymbb
7,midwest,7midwest,michigan,umichbball
8,midwest,8midwest,miami florida,caneshoops
9,midwest,9midwest,michigan state,msu_basketball
10,midwest,10midwest,oklahoma state,osumbb
11,midwest,11midwest,rhode island,rhodymbb
12,midwest,12midwest,nevada,nevadahoops
13,midwest,13midwest,vermont,uvmmbb
14,midwest,14midwest,iona,ionagaelsmbb
15,midwest,15midwest,jacksonville state,jsu_mbb
16,midwest,16midwest,nc central,nccu_mbb
16,midwest,16midwest,uc davis,ucdavismbb
1,south,1south,north carolina,unc_basketball
2,south,2south,kentucky,kentuckymbb
3,south,3south,ucla,uclambb
4,south,4south,butler,butlermbb
5,south,5south,minnesota,gophermbb
6,south,6south,cincinnati,gobearcatsmbb
7,south,7south,dayton,daytonmbb
8,south,8south,arkansas,razorbackmbb
9,south,9south,seton hall,setonhallmbb
10,south,10south,wichita state,goshockers
11,south,11south,k-state,kstatembb
11,south,11south,wake forest,tierdyenation
12,south,12south,middle tennessee,mt_mbb
13,south,13south,winthrop,wueagles
14,south,14south,kent state,kentstmbb
15,south,15south,northern kentucky,nkunorsembb
16,south,16south,texas southern,tsumbb
1,west,1west,gonzaga,zagmbb
2,west,2west,arizona,aplayersprogram
3,west,3west,florida state,fsuhoops
4,west,4west,west virginia,wvuhoops
5,west,5west,notre dame,ndmbb
6,west,6west,maryland,terrapinhoops
7,west,7west,saint marys,smcm_mbb
8,west,8west,northwestern,numesbball
9,west,9west,vanderbilt,vandymbb
10,west,10west,vcu,vcu_hoops
11,west,11west,xavier,xaviermbb
12,west,12west,princeton,princeton_hoops
13,west,13west,bucknell,bucknell_mbb
14,west,14west,florida gulf coast,fgcu_mbb
15,west,15west,north dakota,undmbasketball
16,west,16west,south dakota state,gojacksmbb